Date,Station,Value,lat,lng
2023-07-11,018 SCHÖNEBERG,10,52.48579,13.34885
2023-07-12,018 SCHÖNEBERG,9,52.48579,13.34885
2023-07-13,018 SCHÖNEBERG,8,52.48579,13.34885
2023-07-14,018 SCHÖNEBERG,9,52.48579,13.34885
2023-07-15,018 SCHÖNEBERG,12,52.48579,13.34885
2023-07-16,018 SCHÖNEBERG,6,52.48579,13.34885
2023-07-17,018 SCHÖNEBERG,9,52.48579,13.34885
2023-07-18,018 SCHÖNEBERG,9,52.48579,13.34885
2023-07-19,018 SCHÖNEBERG,14,52.48579,13.34885
2023-07-20,018 SCHÖNEBERG,7,52.48579,13.34885
2023-07-21,018 SCHÖNEBERG,15,52.48579,13.34885
2023-07-22,018 SCHÖNEBERG,8,52.48579,13.34885
2023-07-23,018 SCHÖNEBERG,7,52.48579,13.34885
2023-07-24,018 SCHÖNEBERG,8,52.48579,13.34885
2023-07-25,018 SCHÖNEBERG,5,52.48579,13.34885
2023-07-26,018 SCHÖNEBERG,7,52.48579,13.34885
2023-07-27,018 SCHÖNEBERG,10,52.48579,13.34885
2023-07-28,018 SCHÖNEBERG,7,52.48579,13.34885
2023-07-29,018 SCHÖNEBERG,10,52.48579,13.34885
2023-07-30,018 SCHÖNEBERG,5,52.48579,13.34885
2023-07-31,018 SCHÖNEBERG,9,52.48579,13.34885
2023-08-01,018 SCHÖNEBERG,7,52.48579,13.34885
2023-08-02,018 SCHÖNEBERG,7,52.48579,13.34885
2023-08-03,018 SCHÖNEBERG,7,52.48579,13.34885
2023-08-04,018 SCHÖNEBERG,6,52.48579,13.34885
2023-08-05,018 SCHÖNEBERG,6,52.48579,13.34885
2023-08-06,018 SCHÖNEBERG,8,52.48579,13.34885
2023-08-07,018 SCHÖNEBERG,4,52.48579,13.34885
2023-08-08,018 SCHÖNEBERG,6,52.48579,13.34885
2023-08-09,018 SCHÖNEBERG,7,52.48579,13.34885
2023-08-10,018 SCHÖNEBERG,15,52.48579,13.34885
2023-08-11,018 SCHÖNEBERG,21,52.48579,13.34885
2023-08-12,018 SCHÖNEBERG,13,52.48579,13.34885
2023-08-13,018 SCHÖNEBERG,7,52.48579,13.34885
2023-08-14,018 SCHÖNEBERG,14,52.48579,13.34885
2023-08-15,018 SCHÖNEBERG,10,52.48579,13.34885
2023-08-16,018 SCHÖNEBERG,8,52.48579,13.34885
2023-08-17,018 SCHÖNEBERG,9,52.48579,13.34885
2023-08-18,018 SCHÖNEBERG,10,52.48579,13.34885
2023-08-19,018 SCHÖNEBERG,11,52.48579,13.34885
2023-08-20,018 SCHÖNEBERG,8,52.48579,13.34885
2023-08-21,018 SCHÖNEBERG,8,52.48579,13.34885
2023-08-22,018 SCHÖNEBERG,13,52.48579,13.34885
2023-08-23,018 SCHÖNEBERG,15,52.48579,13.34885
